words,polarity,frequency
vehicle,-0.396682648,232
twenty,-0.371713575,232
combination,0.676205164,231
marie,0.452722326,231
described,-0.140961776,231
classics,0.406281484,231
v,0.230417948,231
alex,0.476226886,231
hunter,0.382080278,231
victoria,0.645578401,231
native,0.115636308,231
gory,0.063857219,231
jackie,0.350443074,231
ancient,-0.100182957,231
joseph,0.800555647,231
irritating,-1.520515,231
levels,0.442759636,230
stopped,-0.782087878,230
eating,-0.545404751,230
l,0.234541973,230
overly,-0.27487251,230
portrays,1.127920627,229
tape,0.020159826,229
assume,-0.878294727,229
rules,0.411400817,229
commercial,-0.442327089,229
hearing,-0.032770621,229
executed,-0.116963283,229
product,-0.599622163,229
haunting,1.325596596,229
broadway,0.828209193,229
believes,0.472714797,228
excited,-0.628721216,229
asking,-0.563529982,228
range,0.463173678,228
model,-0.084516925,228
theaters,0.188534455,229
proper,-0.132595036,228
wide,0.381195599,228
portraying,0.741036629,227
roy,0.808267731,227
chosen,0.278202307,227
wit,0.144586532,227
chief,0.431818343,227
sell,-0.468712545,227
uk,0.317905882,227
angel,0.574285494,227
rescue,-0.162350447,227
moore,-0.09111083,227
extras,-0.008293462,227
ruined,-1.240223331,227
contrived,-1.275355193,227
generation,0.587627141,227
capable,-0.015455508,226
recall,0.080053508,226
embarrassing,-1.932550302,226
largely,0.113964651,226
matt,0.282888301,226
unrealistic,-1.186812094,226
marry,0.411032878,226
clean,0.249260045,226
produce,-0.527997541,226
round,0.202342507,226
depressing,-0.4194781,226
fill,-0.516007719,226
nancy,0.512144722,225
center,0.333733496,225
handsome,0.510408817,225
winner,0.74216507,225
choose,-0.055497622,226
anne,0.364380665,225
germany,0.829238204,225
rise,0.328975912,225
cares,-0.361207895,225
facts,-0.175868985,224
exploitation,-0.408499171,224
matters,0.040773588,224
suffering,0.084350335,224
theatrical,0.57589848,224
learns,0.761982384,225
ryan,0.365088012,224
priest,-0.046593946,224
post,-0.144138496,224
sequels,-0.001864098,224
kick,0.009690128,224
involves,-0.03715264,224
clue,-0.823224984,224
patrick,0.639994619,223
contrast,0.707284623,223
sympathetic,0.412219797,223
grow,0.458674035,223
fame,0.409426073,223
appealing,0.10642869,223
research,-0.454046932,222
strongly,0.74107195,222
louis,0.763499012,222
built,-0.02736925,222
asian,-0.278864056,222
excitement,-0.04229106,221
cash,-0.601536241,221
evidence,-0.286844173,221
dry,-0.529170534,221
anderson,0.435365346,221
disgusting,-1.5071016,221
teenager,0.172493171,220
correct,-0.202174471,220
lewis,0.237075969,220
appropriate,0.375507165,220
claim,-0.312825492,220
chick,-0.617221234,219
vote,-0.209023929,219
pity,-0.369271188,219
heck,-0.883650139,219
talks,-0.13566335,219
losing,0.3191967,219
destroy,-0.215798173,219
oliver,0.213074893,219
walter,1.174699856,219
thoughts,0.521055712,219
canadian,0.130667275,218
lousy,-2.062723555,218
circumstances,0.534954055,218
costume,-0.202173284,218
promise,-0.420848763,218
tedious,-1.714634605,218
crowd,0.114548225,217
voices,0.316676383,217
safe,0.116270904,217
saturday,-0.170764923,217
europe,0.2739097,217
substance,-0.824775855,217
sports,0.291520866,217
training,0.236301698,217
bringing,0.764113154,216
frame,0.391096391,216
haunted,-0.051073849,216
bomb,-0.802638983,216
fool,-0.695465177,216
fly,-0.183693668,217
naive,0.185608298,216
captures,2.02691237,216
hanging,-0.270946626,215
football,0.105919254,215
bodies,-0.349488758,215
teenagers,-0.403941014,215
till,0.154062297,215
amateurish,-2.112938726,215
mask,-0.550378912,215
max,0.446550782,215
tend,0.477666885,215
convinced,-0.047175016,215
satisfying,0.925954337,214
obsessed,0.224469608,214
welcome,0.479197142,214
psycho,-0.267243145,214
virtually,-0.522702828,214
hopefully,0.099721753,214
horribly,-1.784039442,214
asleep,-1.876502009,213
walks,-0.260879887,213
hunt,0.166383431,213
scare,-0.351188443,214
spoil,0.318207199,213
cost,-0.618785143,213
powell,1.075473299,213
danger,0.166369913,213
relatively,0.277535955,213
insult,-2.334337882,213
grown,0.446206465,213
trilogy,0.551773235,213
steals,0.851814486,212
africa,0.106971865,212
murphy,0.237318745,212
fits,1.021692326,212
universal,0.653800741,212
creatures,-0.076470539,212
reporter,0.196072848,211
unlikely,0.095159581,211
baseball,0.183083451,211
che,0.392861767,211
robot,-0.479488307,211
tiny,-0.079860554,211
dubbed,-0.25894726,211
continuity,-1.136420893,211
seat,0.972685368,210
influence,0.652968548,210
market,-0.153575812,210
depicted,0.282981972,210
flesh,-0.24709085,210
remain,0.479716442,209
hall,0.489688116,209
texas,-0.088804572,209
united,0.5654283,209
kim,0.471004286,209
initial,0.255883429,209
fu,0.347253063,209
unfortunate,-0.317238258,209
offensive,-1.276278194,209
category,-0.282452905,209
send,-0.275001595,208
russell,0.80223744,208
fare,0.099189214,208
north,0.372577512,208
factor,-0.269309046,208
cowboy,0.547783704,208
soft,-0.105109043,208
believed,0.112752058,207
ass,-0.346914052,207
lawyer,0.503772837,207
politics,0.643126404,207
lower,-0.767942062,207
qualities,-0.511684326,207
provided,0.203766089,207
target,-0.382062334,207
drag,-0.328735538,207
witness,0.364561953,206
contemporary,0.649041313,206
columbo,0.793843833,206
touches,1.118957449,206
presents,0.761900489,206
refreshing,1.879379538,206
hide,-0.311738775,206
rental,-0.964874375,206
holding,-0.097153553,206
promising,-1.083371027,205
professor,0.1015668,205
viewed,0.629798869,205
australian,0.31902711,205
display,-0.049303708,205
source,-0.049924726,205
amateur,-1.53663697,205
nominated,1.128398882,205
structure,0.150832164,205
cartoons,0.238724625,205
shocked,-0.102317836,204
hitchcock,0.799833082,204
makeup,-0.455506961,204
forgettable,-1.326118566,204
claims,-0.461523823,204
movement,0.407352704,204
weekend,-0.043336489,204
sisters,0.562987257,204
caine,0.452552365,204
plans,0.414550594,204
edward,0.953381229,204
deaths,-0.291847621,204
surreal,1.001050728,204
closer,0.601978156,204
clark,0.388418091,203
handled,0.352570632,204
ruin,-0.244310792,203
roger,0.194258854,203
accents,-0.808992926,203
surprises,0.425401712,203
angles,0.218326163,203
repeated,-0.223738803,203
serves,0.160902961,203
chose,-0.293982101,202
adventures,0.761566565,202
eight,0.309202401,202
speaks,0.279271715,202
supernatural,0.012387509,202
brave,0.650369676,202
previously,0.23100966,202
peace,0.630111841,202
pacino,0.823430509,202
warm,1.086198089,202
hat,-0.052231223,201
over-the-top,-0.11429289,201
emma,0.631710167,201
deadly,0.028403306,201
granted,0.01147239,201
degree,-0.081791869,201
latest,0.069582969,201
suffers,-0.319094722,201
weeks,0.195143786,201
whoever,-1.095530638,201
cant,-0.437367957,200
rain,0.326161985,200
skin,-0.17302744,200
accidentally,0.008772423,200
experiences,1.118907396,200
highlight,0.069546979,200
lesbian,-0.57879626,200
covered,-0.231015132,200
service,0.080098855,200
enemy,0.246462282,200
dollars,-0.865950629,200
mistakes,-0.332766833,200
pile,-2.404131901,200
routine,-0.170227234,200
paper,-0.856070402,200
treasure,0.513419047,199
mgm,0.702231944,199
harsh,0.377844578,199
uninteresting,-1.981449826,199
alice,0.572083304,199
realizes,0.896266691,199
colors,0.692746387,199
make-up,-0.270450804,199
combined,0.287339818,198
sympathy,-0.313830034,198
speech,0.008599983,198
twisted,0.389770352,198
aliens,-0.675887413,198
friday,-0.223996962,198
veteran,0.638471674,198
wilson,0.325594452,198
propaganda,-1.047869083,198
universe,0.125796472,197
convince,-0.502340156,197
atrocious,-2.434508624,197
dogs,-0.003021692,196
designed,-0.300188163,196
struggling,0.300028773,196
ted,0.292230637,196
draw,0.002836799,196
path,0.533353689,195
frightening,0.476919608,195
would've,-0.589129194,195
mainstream,0.433654479,195
section,-0.063871022,195
recognize,0.41407048,195
invisible,-0.329863388,195
lugosi,-0.107871654,194
nude,-0.849102305,195
walked,-1.363709586,194
enter,0.264366225,194
pitt,0.340238978,194
print,0.253059542,195
committed,0.168748037,194
x,0.104051447,194
aka,0.085258749,194
focused,0.311504784,194
guilty,0.131359711,194
blah,-1.654301124,194
princess,0.602831029,194
FALSE,-0.390950696,193
terror,0.327534479,193
occasional,-0.183373784,193
security,-0.286228826,193
directly,0.002286896,193
narration,0.215538174,192
sarah,0.445791345,192
technically,-0.172850664,192
com,0.218179363,192
offered,-0.089207472,192
theory,-0.356807157,192
breaking,0.170825074,192
magical,0.850907889,192
massive,-0.23951,191
suspenseful,0.499913551,191
kinds,0.211024169,191
variety,0.343002761,191
experienced,0.711375437,191
featured,-0.005581839,191
driver,0.464843787,191
donald,0.50576009,191
prior,0.117694915,191
irish,0.171327428,191
core,0.22115843,191
subtitles,0.709806028,191
reputation,-0.112279003,191
explains,0.064099823,191
fairy,0.680220476,190
birth,0.303248349,190
sorts,0.146099857,190
gritty,1.050758761,190
bourne,0.482808794,190
johnson,0.335766439,190
forest,-0.068629166,190
inner,0.883068894,190
darkness,0.478909644,190
stolen,-0.496939112,190
everywhere,-0.103715075,190
performed,0.683633448,190
abuse,-0.02722841,190
prime,0.104830907,190
crying,-0.049341664,190
sharp,0.987533416,190
statement,-0.052502795,190
hong,0.588710281,189
regret,0.331875597,189
surface,0.519970811,189
sunday,0.181788355,189
gas,-0.507271305,189
reveal,0.324949305,189
titanic,0.127087418,189
conversation,0.061316119,189
chan,0.297293996,189
remotely,-2.04196308,189
figures,0.090414286,189
anger,0.469756163,190
crash,-0.261776875,189
exact,-0.355331757,188
execution,-0.452566854,188
department,-0.012011713,188
dean,0.636270122,188
required,0.034818538,188
passing,0.102556455,188
junk,-2.064235163,188
legendary,0.823374837,188
beach,-0.042282075,188
multiple,0.240141669,188
lonely,0.923054812,188
freeman,0.797079218,188
rachel,0.262819309,188
express,0.385962369,188
hoffman,0.820542548,188
demons,0.140015463,188
teens,-0.170605256,188
spy,0.199491024,188
melodrama,0.008587935,188
scares,-0.35028418,188
california,0.340895165,188
mountain,0.298301636,188
spends,-0.519837903,188
insight,0.323024666,187
erotic,-0.070436035,187
effectively,0.662742105,187
grim,0.639688462,187
julia,0.17344454,187
grave,-0.518389414,187
downright,-0.766644106,187
crude,-0.421634412,187
revolution,0.558447966,187
bothered,-1.105125854,187
scale,0.074282169,187
drop,-0.3606821,186
susan,0.44474863,186
jon,0.199342926,186
unconvincing,-1.660613482,186
belief,-0.263615431,186
rule,-0.095469956,186
network,0.248274954,186
happiness,1.283031552,186
china,0.411013966,186
fictional,0.345250877,186
branagh,0.215346958,186
figured,-0.768131504,187
nation,0.383782834,186
paced,0.818346856,186
favorites,1.678144664,186
abandoned,-0.224371943,186
afternoon,0.107265753,185
proud,0.806808757,185
imagery,0.531889187,185
beast,0.13548623,185
alright,-0.760038364,185
minds,0.266840227,185
blow,-0.320800655,185
worthwhile,-0.390302536,186
dozen,-0.387056642,185
matrix,0.017366042,185
hired,-0.18515217,185
paint,-1.319015854,185
listening,-0.043909571,185
cutting,-0.45612607,185
forth,0.02769939,185
blockbuster,-0.092866581,184
delivery,0.004556688,184
bus,-0.158369766,184
pulls,0.820072965,184
court,0.369828478,184
mexico,0.244109528,184
von,0.663058037,184
lisa,0.3350468,184
rings,0.175479128,184
foster,0.46791007,184
trapped,0.03922204,183
dragon,-0.330134589,183
ron,0.172278314,183
buying,-0.260497788,183
scenario,-0.344902513,183
b-movie,-0.774934878,183
account,0.116884675,183
urban,0.135468977,183
burns,0.103286166,183
amazed,0.658639257,183
reveals,0.658743793,183
idiot,-1.548325386,183
larry,0.303820603,183
quest,0.61403997,183
jobs,0.374207965,183
sir,0.670019697,182
stayed,-0.376857743,182
stays,0.873115606,182
code,0.020211327,182
ned,0.987537955,182
significant,0.382178883,182
wear,-0.507294632,181
mature,0.989098208,181
rights,0.120699042,181
lifetime,0.215575921,181
examples,-0.266356368,181
paying,-0.776349913,181
studios,-0.041671824,181
jungle,-0.026345349,181
ghosts,-0.431441952,181
angle,-0.090879824,181
mere,-0.014597461,181
status,0.441553278,180
thankfully,0.151036209,181
mexican,-0.038713708,180
focuses,0.777908364,180
changing,0.182674798,180
necessarily,0.370602673,180
he'd,-0.511318149,180
skill,0.385467234,180
clichéd,-1.22891941,179
vietnam,0.787755726,179
sidney,0.828986654,179
suffer,-0.37040745,179
lights,0.018736162,179
cruel,0.193864452,179
achieve,0.31214237,179
spite,0.289611617,179
interview,0.168590452,179
african,0.04477611,179
position,0.429429342,179
heavily,-0.14267487,178
desperately,-0.398729045,178
san,0.744134108,178
india,0.543536469,178
views,0.476185967,179
destroyed,-0.532960206,178
metal,-0.098415291,178
midnight,0.322162786,178
murderer,0.016229301,178
n,0.179935988,178
summary,-0.592830022,178
dude,-0.77144391,179
artists,0.395620678,178
initially,0.573501462,177
fabulous,1.578771319,177
driven,0.524874771,177
device,-0.486331304,178
understood,0.243207226,177
ignore,-0.111825639,177
facial,0.206228241,177
productions,0.138533034,177
format,0.422588893,177
seek,0.288795351,177
teeth,-0.671029831,177
pregnant,-0.077188646,177
warner,0.456054673,177
forgot,-0.723945347,176
dennis,0.283587635,176
closing,0.203948078,176
hardy,0.41286742,176
campy,-0.435984555,176
answers,0.549640481,176
beloved,0.525170415,176
complicated,0.725063959,176
placed,0.171987056,176
bore,-1.396402044,176
deeper,0.833697809,176
renting,-1.375797362,176
maria,0.541051471,175
prefer,0.329845866,175
sounded,-1.096408444,175
settings,0.584807703,175
ludicrous,-1.562399245,175
raw,1.131751386,175
table,-0.100424766,176
lincoln,0.374383461,175
elizabeth,0.315892522,175
expert,0.117160299,175
reminiscent,0.565237422,175
disbelief,-0.910019955,175
encounter,0.527267402,175
faithful,0.611189992,175
slapstick,-0.014397793,175
greater,0.635833872,174
description,-0.267112192,174
racist,-0.780610595,174
brad,0.450815948,174
inept,-1.760589148,174
league,0.05236728,174
julie,0.511240641,174
environment,0.70528994,174
helping,0.39043681,174
rolling,-0.226083232,174
sensitive,0.951116374,174
shadow,0.323568466,174
flashback,-0.057973059,174
appreciated,1.137184078,174
task,0.426972667,174
learning,0.51498291,174
warned,-1.084593174,174
extraordinary,1.495774021,173
musicals,0.718426854,173
storytelling,0.429724502,173
funnier,0.059639951,173
claire,0.454795947,173
mildly,-1.17925012,173
ill,-0.337401521,173
amazingly,0.474798426,173
ain't,-0.582756071,173
sleeping,-0.548464326,173
underground,0.003005765,173
cabin,-0.646438591,173
fourth,-0.013646872,172
decades,0.511896686,172
depiction,0.638069366,172
aunt,0.48949014,172
quirky,0.582462475,172
halfway,-1.231621637,172
suck,-1.512167991,172
truck,-0.522296417,172
stereotypical,-0.861000787,172
entertain,0.075202126,172
regarding,0.266832426,172
cultural,0.471716718,172
rough,0.549613398,172
notorious,0.297948469,172
leslie,0.375597875,172
sandler,-0.407090475,172
extent,0.157387475,171
turkey,-2.055440882,171
sun,-0.058142596,171
daughters,0.498603359,171
sword,-0.056340084,171
kung,0.422229386,171
criminals,0.300552408,171
dress,-0.318280401,171
convey,0.095016448,171
originality,-0.595918622,171
honor,0.72105052,171
criticism,0.82522125,171
jessica,-0.172012355,171
arms,-0.056597493,171
calling,-0.393904756,171
expression,-0.170721633,170
drinking,-0.352511769,170
touched,1.300834313,170
indie,-0.072425521,170
critical,0.253994362,170
choices,0.358478783,170
bbc,0.143715139,170
praise,0.132562306,170
michelle,0.217041522,170
buck,-0.447337394,169
purely,-0.130270564,169
could've,-0.566186218,169
base,-0.314664353,169
experiment,-0.229198929,170
spoof,-0.557416417,169
picks,0.226983328,169
inspiration,0.525520339,169
comical,-5.11E-05,170
novels,0.134093433,168
basis,-0.131193747,168
bollywood,0.365608092,168
demon,-0.398850971,168
notable,0.396968561,168
prepared,0.265389756,168
graphics,-0.13881346,168
throwing,-0.781238323,168
breathtaking,1.896580429,168
cell,-0.439221385,168
flight,0.015349715,167
miller,0.583255514,167
serve,-0.137549055,167
succeeds,0.953741764,167
friendly,0.433064696,167
introduction,0.302241911,167
jail,0.227463831,167
join,0.194125519,167
throws,-0.199167947,167
properly,-0.545623143,167
lazy,-1.203624913,167
rip,-1.108851423,167
starred,0.073337894,167
causes,0.174455365,166
charge,0.066028093,166
kiss,0.216746576,166
adding,0.109964185,166
burt,0.181773073,166
cooper,0.815226717,166
raised,0.314907309,166
stanley,0.825907951,166
wears,-0.460575112,166
blown,0.514611297,166
laura,0.633888048,166
weapons,-0.22323403,166
handle,0.223838554,166
strangely,0.097051608,166
brooks,0.556805011,166
via,0.017425974,167
nowadays,0.458995925,166
everyday,1.226400939,166
lie,-0.213773861,166
rogers,0.333492565,166
intellectual,-0.081024998,165
protect,0.41434997,165
caring,0.037199553,165
lane,0.232871539,165
blair,-0.57814098,165
challenge,0.530240846,165
regard,-0.001541694,165
nonetheless,0.862211653,164
wins,0.310904094,164
amongst,0.383786602,164
ratings,-0.568764588,164
raise,0.00554182,164
nazi,0.351246241,164
fallen,-0.077680226,164
screening,0.296445187,164
so-called,-1.053062331,163
escapes,-0.11612434,163
carried,0.348476867,163
carries,0.913132026,163
bettie,0.567712237,163
embarrassed,-2.042574854,163
mirror,0.381618363,163
tracy,0.780355793,163
attempting,-0.520383761,163
westerns,0.906227061,163
gruesome,0.19663837,163
usa,0.05499185,163
trick,-0.327816589,163
lion,0.250607997,163
related,0.010922956,163
carrying,-0.079121757,163
daily,0.79064132,163
cases,0.148883448,162
sinister,0.600707268,162
alas,-1.119956696,162
breath,0.851441144,162
arrives,0.343402875,162
tree,-0.228551177,162
holmes,0.720626896,162
philip,0.801549006,162
reed,0.356425253,162
wave,-0.105835248,162
enjoying,0.30274108,162
authentic,0.840668395,162
tales,0.498143284,162
obnoxious,-1.19516381,162
tradition,0.687290716,161
pet,-0.098538004,161
busy,-0.132016797,161
navy,-0.062197806,161
replaced,-0.498556088,161
obsession,0.509803863,161
stanwyck,0.816256918,161
exists,0.020148911,161
interpretation,0.678212519,161
sleazy,-0.097400651,161
southern,0.026108038,161
mansion,0.065835163,161
chilling,1.333455242,161
sitcom,-0.375741559,161
confusion,0.107743162,161
carpenter,0.253971514,161
christ,0.034689515,161
needless,-0.362650894,162
stomach,-0.44037113,160
madness,0.750214378,160
successfully,0.613007243,160
ironic,0.181048673,160
jewish,0.362160933,160
lucy,0.33914993,160
reference,-0.184522854,160
remote,-0.39247492,160
timing,0.412270724,160
presentation,0.331629106,160
sutherland,0.225335534,160
locked,-0.209047224,160
attacked,-0.51136714,160
determined,0.764763753,160
flow,0.117181131,160
intentions,-0.192174431,160
angels,-0.065763556,160
clips,-0.415746015,159
hood,0.264597522,159
jake,0.805306294,159
shut,-0.603728681,159
fortunately,0.172890401,159
guard,0.11706977,159
marvelous,1.868906071,159
punch,-0.106883433,159
ha,-1.080673143,159
rival,0.583282038,159
essential,0.880217065,159
horrific,-0.142722668,158
stupidity,-1.760591977,158
legs,-0.477069926,158
titles,-0.160260734,158
ashamed,-1.950093718,158
jumps,-0.624711789,158
term,-0.262221115,158
risk,0.098645315,158
intensity,1.126777091,158
interviews,0.509490697,158
vacation,-0.041108532,158
brando,0.992333617,158
tight,0.545325855,158
topic,0.028447663,158
manager,0.489723145,158
served,-0.289284537,158
inspector,0.314895438,158
attacks,-0.236559962,157
established,0.092460673,157
goofy,-0.264029763,157
remind,0.190968294,157
comedian,0.051714052,157
stylish,0.671587004,157
oddly,0.051206409,157
albeit,0.273961103,157
matthau,0.75492673,157
delight,1.553574921,157
patient,0.301432981,157
stops,-0.040556956,157
retarded,-1.986932514,156
sides,0.888389889,156
seagal,-1.089249139,156
thrilling,0.778097455,156
cook,0.117820306,156
contain,-0.194211393,156
jay,0.332924201,156
suspects,0.310451988,156
balance,0.964955376,156
sold,-0.143137853,157
frequently,0.201137105,156
poignant,1.714203079,156
dollar,-0.600252315,156
personalities,0.629341072,156
sullivan,1.160961129,156
bridge,0.14802869,155
sum,-0.539839365,155
hence,-0.102684935,155
rochester,0.073866729,155
struggles,0.93724043,155
flawed,0.152204434,155
bo,-0.539709335,155
thief,0.414703823,155
widmark,0.856322802,155
revolves,0.302448121,154
refuses,0.61952351,154
greatly,0.675356754,154
screenwriter,-0.497669486,154
drives,0.194599831,154
internet,-0.242522365,154
shower,-0.892020942,154
grey,0.445617556,155
expressions,0.586189948,154
par,-0.238565701,154
baker,0.383056412,154
bette,0.71444543,154
upset,-0.40436565,154
overcome,0.365382284,154
wishes,0.398967884,154
chair,-0.087762312,153
spoken,0.2145284,153
elvis,0.269832163,153
credibility,-0.858624573,153
hole,-0.692203344,153
east,0.317644833,153
mindless,-1.00067942,153
lessons,0.287281793,153
innocence,1.494983649,153
mentally,-0.181543203,153
warn,-1.498826963,153
cynical,0.594431272,153
franchise,-0.432419122,153
elvira,0.144746122,153
thousands,-0.332257848,153
riding,-0.184095735,152
lesser,0.47727788,152
racism,0.007726548,152
controversial,0.656074057,152
helen,0.493522891,152
mouse,0.553506128,152
dinner,0.14820535,152
advantage,0.422646259,152
toy,0.088111503,152
glass,-0.0103753,152
stranger,0.174649342,152
corner,0.132683455,152
credible,-0.157337279,152
mob,0.479974238,152
italy,0.595340172,152
fbi,-0.262176056,151
derek,0.54135916,151
storm,0.022235545,151
bitter,0.340666372,151
andrews,0.59241736,151
bound,0.403682358,151
text,-0.430449718,151
dentist,-0.339358392,151
wealthy,0.566771766,151
tense,0.940794916,151
bugs,0.103456428,151
dubbing,-0.41863884,151
spielberg,0.089841088,151
nelson,0.406866574,151
guessing,0.49064728,150
streisand,0.134242209,150
adapted,0.76810338,150
trial,0.444333853,150
opened,0.309955247,150
gross,-0.770964589,150
pride,0.578702407,150
hundreds,-0.3661396,150
trite,-1.651101502,151
suffered,-0.202649217,150
:),1.283817465,150
technique,0.274200216,150
dislike,-0.029236993,150
hills,-0.236299051,150
broke,0.118599761,150
medical,0.137304297,150
seeking,0.555823633,150
reunion,0.306014466,150
countries,0.359481249,150
enjoyment,0.232234661,150
chaplin,0.901571517,150
kurt,0.184774793,149
crisis,0.380153386,149
glimpse,0.581467955,149
succeed,0.036823777,149
wasting,-2.49258108,149
performers,0.236970689,149
sexuality,0.608792944,149
noble,-0.007208752,149
shines,1.614446742,149
whereas,0.013475039,149
ourselves,0.953408083,149
uncomfortable,-0.082324972,149
britain,0.293663759,149
infamous,0.262328474,148
pool,-0.339844828,148
gripping,1.400748393,148
millions,-0.529436712,149
mass,-0.163454786,148
physically,0.074500261,149
thrillers,0.648467002,148
sings,0.588379293,148
shorts,0.473948524,148
happily,0.20200782,148
courage,1.394029726,148
perform,0.224456105,148
catholic,0.25253997,148
separate,0.349187603,148
hint,-0.400622328,148
atmospheric,0.704069609,147
drink,-0.224036015,147
contact,0.204356662,147
ensemble,1.477394942,147
wwii,0.643056946,147
oscars,1.113507481,147
shape,0.048159477,147
andrew,0.704121451,147
nine,0.396855666,147
arnold,0.051220123,147
curse,-0.263570142,147
karloff,0.423482653,147
irony,0.158872601,147
exceptional,1.563676951,147
cameos,0.238309737,146
dear,-0.899121507,146
virgin,-0.200481769,146
assistant,0.228768907,147
cheese,-1.032449546,146
bat,-0.373328342,146
glory,0.689211408,146
scripts,-0.995884358,146
flynn,0.93742963,146
weapon,-0.142387692,146
sons,0.788159456,146
hamlet,0.364729106,145
horses,-0.077634074,145
suggests,0.107111499,145
cube,-0.572121111,145
protagonists,0.072969955,145
ralph,0.690727195,145
meaningful,-0.314140175,145
idiotic,-2.165139336,145
troubled,0.681813813,145
burton,0.409637681,145
steps,0.475343399,145
quote,0.071052025,145
vincent,0.823260874,145
letting,0.136659502,145
snow,0.107372902,145
tied,-0.040962146,145
connected,0.045638385,145
host,0.287111785,145
consists,-0.915366923,144
perfection,2.23737013,144
lying,-0.376308433,144
portrait,0.934470121,144
dancer,0.401356864,144
sentimental,0.323060293,144
sin,0.046354773,144
stretch,-0.344214042,144
bag,-0.569534928,144
hundred,-0.46872814,144
cousin,0.157201481,144
holiday,0.283018707,144
develops,0.850667408,144
plague,-1.347866579,144
unforgettable,2.327956641,144
noted,0.269303577,144
gain,0.245443432,143
lovable,0.946216132,143
card,-0.278195908,143
worlds,0.365814906,143
fish,-0.175714495,143
repeat,-0.389560355,143
annoyed,-0.965473621,143
knife,-0.488111185,143
attraction,0.284524073,143
condition,0.630559556,143
neighborhood,0.44525921,143
redemption,0.935284131,143
accepted,0.076243839,143
spots,0.07079967,143
boll,-2.477919624,144
concert,0.732572636,142
glover,0.253316283,142
neat,0.200382392,142
dorothy,0.90264254,142
torn,0.415624492,142
roberts,0.079793861,142
chuck,0.069201704,142
catherine,0.384201349,142
saves,-0.424374814,142
colorful,0.804418819,142
searching,0.482624806,142
aired,0.835484897,142
stan,0.468290154,142
miscast,-1.224334314,142
lucas,-0.161408884,142
hoped,-0.683232168,142
belongs,-0.107750889,142
plastic,-1.15429023,142
hiding,-0.024654728,142
pat,0.285349374,142
dig,-0.024623926,142
arm,-0.406299425,142
proof,-0.150054118,142
dialogs,-0.493491099,141
denzel,0.661437337,141
walken,0.127538531,141
one-liners,-0.007243487,141
object,0.020706113,141
curtis,0.405546872,141
boredom,-1.717932128,141
hudson,0.156422084,141
terrifying,0.886425285,141
entry,0.047498169,141
encounters,0.459697738,140
fortune,0.435365388,141
equal,0.650760758,140
eerie,0.916617846,140
guts,0.095579458,140
bears,-0.224454881,140
imaginative,0.654425103,140
month,0.189025846,140
library,0.116450805,140
concerns,0.322202854,140
massacre,-0.530073351,140
aged,0.210455929,140
worry,0.059065681,140
chases,0.068915985,140
hanks,0.436216613,139
sends,0.400398888,139
zone,0.126042312,139
achieved,0.532275588,139
profound,0.50238628,139
tune,0.319489153,139
complaint,1.088205773,139
tour,0.742198628,139
stunts,0.082269873,139
pack,-0.173345078,139
flaw,0.386547453,139
elsewhere,-0.420229542,139
lloyd,0.681997217,139
crimes,0.214485355,139
factory,0.261856356,139
eva,0.497714626,139
appearances,0.389631464,139
endearing,0.927130557,139
neighbor,0.361737247,139
segments,0.26567597,139
expensive,-0.54660641,138
essence,0.893326673,138
homeless,-0.121537676,138
laid,0.025628118,138
jeremy,0.194226528,138
carol,0.513938141,138
closely,0.602336845,138
checking,-0.045800692,138
scientists,-0.558697312,138
hooked,1.681329844,138
canada,0.232467668,138
solve,0.189296272,138
hunting,0.044278617,138
cusack,0.441680212,137
wing,-0.22545724,137
winter,0.634432185,137
competent,-0.451739046,137
incoherent,-2.123479452,137
loser,-0.948122986,137
st,0.345559278,137
rocks,0.745741845,137
oil,-0.049805946,137
bobby,0.403659571,137
teach,0.066425941,137
birthday,0.36627069,137
dealt,0.579866762,137
rush,0.347814595,137
striking,0.902866048,137
civil,0.704488784,137
tribute,0.833316603,137
tricks,0.082411483,136
battles,0.473359998,136
rushed,-0.530556124,136
appearing,-0.387915307,136
heston,0.130499055,136
believing,-0.076776013,136
colour,0.588892584,136
charisma,-0.292863746,136
countless,-0.056011035,136
dragged,-0.829661541,136
reactions,0.469351327,136
virus,-0.862034474,136
hang,-0.457882766,136
thousand,-0.489785543,136
videos,-0.412979513,136
dare,0.093194749,136
attempted,-0.712725359,136
pitch,0.11277292,136
shoots,-0.398319676,135
chasing,-0.218092508,135
silver,0.144020657,135
briefly,0.016778048,135
k,-0.160373697,135
strikes,0.602082811,135
hip,-0.535896276,135
techniques,0.355642417,135
magazine,-0.016987956,135
pointed,-0.278774426,135
health,0.286942533,135
doc,0.889320746,135
sally,0.527120944,135
dramas,0.975403113,135
covers,0.449871554,135
ritter,0.964583483,135
unintentionally,-1.524036774,134
horrendous,-2.137912262,134
charismatic,0.67468304,134
surrounding,0.276494604,134
surrounded,0.149050523,134
gag,-0.756176307,134
goal,0.007455099,134
slight,0.293281086,134
kane,0.6671216,134
crafted,1.586816561,134
barry,0.64846678,134
eastwood,0.766420627,134
neck,-0.321841823,134
workers,0.585242967,134
carter,0.595886948,134
grows,0.77359081,134
burning,-0.268304988,134
hearts,0.971667507,134
tons,-0.079832789,133
dawn,0.145472964,133
walls,-0.2099367,133
painting,0.364198078,133
